,Time,Size of Ads ,words of content,Treated,After,Interaction ,Unnamed: 6,Unnamed: 7,TimeManawatu,Manawatu Ads treated,Manawatu Words of content,Unnamed: 11,Weekender Treated,Weekender Ads Treated,Weekender words,Unnamed: 15,Time Hasting,Hasting Ads Treated,Hasting words ,Unnamed: 19,Unnamed: 20,Unnamed: 21,TimeNapvier,Napver Ads treated,Napier words of content,Unnamed: 25,Time Katikati,Katikati Ads control ,Katikati  words,Unnamed: 29,Time Hamilton,Hamilton ads control,Hamilton words,Unnamed: 33,Time Costal news control,Costal control ads,Costal news WORDS,Unnamed: 37,Time Whanganui control,Whanganui Ads control,Whanganui words
24,20180502,0.648,7250,1,0,0,,,20180503,0.73125,5863.0,,20180511.0,0.588270588235294,8534.0,,20180502.0,0.6125,9408.0,,,,20180502,0.648,7250.0,,20180419.0,0.732121212121212,8452.0,,20180511.0,0.794642857142857,9461.0,,20180419.0,0.751428571428571,8452.0,,20180509.0,0.6025,8904.0
25,20180509,0.6925,6488,1,0,0,,,20180510,0.708333333333333,6772.0,,20180518.0,0.560258823529412,9254.0,,20180509.0,0.562,9852.0,,,,20180509,0.6925,6488.0,,20180426.0,0.738787878787879,7985.0,,20180518.0,0.766111111111111,13638.0,,20180426.0,0.73875,7985.0,,20180516.0,0.59625,8583.0
26,20180516,0.74,9314,1,0,0,,,20180517,0.752,4013.0,,20180525.0,0.659794427244582,6718.0,,20180516.0,0.665,11887.0,,,,20180516,0.74,9314.0,,20180503.0,0.778571428571429,7250.0,,20180525.0,0.7709375,10205.0,,20180503.0,0.635,7250.0,,20180523.0,0.5725,8888.0
27,20180523,0.698,10409,1,0,0,,,20180524,0.73125,5104.0,,20180601.0,0.671745882352941,7492.0,,20180523.0,0.57975,10643.0,,,,20180523,0.698,10409.0,,20180510.0,0.71125,9460.0,,20180601.0,0.736486486486487,12261.0,,20180510.0,0.671904761904762,9460.0,,20180530.0,0.713333333333333,8890.0
28,20180530,0.6984375,11149,1,0,0,,,20180531,0.6235,5515.0,,20180608.0,0.572023529411765,11771.0,,20180530.0,0.6655,9742.0,,,,20180530,0.6984375,11149.0,,20180517.0,0.7603125,5967.0,,20180608.0,0.705833333333333,17000.0,,20180517.0,0.668421052631579,5967.0,,20180606.0,0.660769230769231,7930.0
29,20180606,0.6568,8477,1,1,1,,,20180607,0.680416666666667,5776.0,,20180615.0,0.574959752321981,7326.0,,20180606.0,0.682,10643.0,,,,20180606,0.6568,8477.0,,20180524.0,0.677,12990.0,,20180615.0,0.739166666666667,11155.0,,20180524.0,0.705,13594.0,,20180613.0,0.589,5149.0
30,20180613,0.667142857142857,12255,1,1,1,,,20180614,0.745862068965517,5842.0,,20180622.0,0.621411764705882,7407.0,,20180613.0,0.629565,12421.0,,,,20180613,0.667142857142857,12255.0,,20180531.0,0.740625,6272.0,,20180622.0,0.786875,9788.0,,20180531.0,0.75625,6272.0,,20180620.0,0.645714285714286,8528.0
31,20180620,0.775238095238095,6115,1,1,1,,,20180621,0.7871875,4539.0,,20180629.0,0.569549019607843,10327.0,,20180620.0,0.6455,11120.0,,,,20180620,0.775238095238095,6115.0,,20180607.0,0.6915625,10200.0,,20180629.0,0.716666666666667,9081.0,,20180607.0,0.6715,10200.0,,20180627.0,0.687045454545455,7141.0
32,20180627,0.739285714285714,8390,1,1,1,,,20180628,0.713,5115.0,,20180706.0,0.649956656346749,8933.0,,20180627.0,0.6675,6737.0,,,,20180627,0.739285714285714,8390.0,,20180614.0,0.7234375,11263.0,,20180706.0,0.730263157894737,11879.0,,20180614.0,0.621428571428571,11263.0,,20180704.0,0.617142857142857,7336.0
33,20180704,0.64,10727,1,1,1,,,20180705,0.734166666666667,5900.0,,20180713.0,0.658549019607843,11472.0,,20180704.0,0.5715,10818.0,,,,20180704,0.64,10727.0,,20180621.0,0.72027027027027,12778.0,,20180713.0,0.71325,11564.0,,20180621.0,0.708,12778.0,,20180711.0,0.62375,6489.0
34,20180711,0.6975,12053,1,1,1,,,20180712,0.775,5684.0,,20180720.0,0.755468409586057,6704.0,,20180711.0,0.845,7554.0,,,,20180711,0.6975,12053.0,,20180628.0,0.730833333333333,9102.0,,20180720.0,0.69975,12773.0,,20180628.0,0.667647058823529,9102.0,,20180718.0,0.6171875,7847.0
35,20180718,0.72125,9952,1,1,1,,,20180719,0.744285714285714,7734.0,,20180727.0,0.527927601809955,14272.0,,20180718.0,0.652,9165.0,,,,20180718,0.72125,9952.0,,2018705.0,0.732142857142857,8881.0,,20180727.0,0.749444444444444,12777.0,,20180705.0,0.664285714285714,8881.0,,20180725.0,0.61875,9322.0
36,20180725,0.670714285714286,9197,1,1,1,,,20180726,0.7953125,5923.0,,20180803.0,0.632459383753501,16406.0,,20180725.0,0.6185,8932.0,,,,20180725,0.670714285714286,9197.0,,20180712.0,0.69,11220.0,,20180803.0,0.743055555555556,13529.0,,20180712.0,0.720588235294118,11220.0,,20180801.0,0.714285714285714,9487.0
37,20180801,0.6712,7713,1,1,1,,,20180802,0.62875,6347.0,,20180810.0,0.618188235294118,10740.0,,20180801.0,0.6165,10319.0,,,,20180801,0.6712,7713.0,,20180719.0,0.75125,10474.0,,20180810.0,0.7546875,11076.0,,20180719.0,0.795882352941176,10474.0,,20180808.0,0.528571428571429,5991.0
38,20180808,0.712142857142857,11065,1,1,1,,,20180809,0.673214285714286,6278.0,,20180817.0,0.634635294117647,14039.0,,20180808.0,0.6925,7242.0,,,,20180808,0.712142857142857,11065.0,,20180726.0,0.695405405405405,10061.0,,20180817.0,0.741935483870968,14750.0,,20180726.0,0.684117647058823,10061.0,,20180815.0,0.73469387755102,9085.0
